department_code,department_name,project_id,project_name,original_folder
01010,도로,20070110,가정오거리 도시개발사업 사업화 기본 및 실시설계용역(인천광역시),\\EstInternetDisk\6-leedh\01010_도로\2007110_가정오거리 도시개발사업 사업화 기본 및 실시설계용역(인천광역시)
01010,도로,20070163,지방도 352호선 우회도로 외 2개도로 기본 및 실시설계용역,\\EstInternetDisk\6-leedh\01010_도로\2007163_지방도 352호선 우회도로 외 2개도로 기본 및 실시설계용역
01010,도로,20080085,시흥시 죽율~장현~목감간 도로 기본 및 실시설계용역(LH),\\EstInternetDisk\6-leedh\01010_도로\2008085_시흥시 죽율~장현~목감간 도로 기본 및 실시설계용역(LH)
01010,도로,20160155,태릉-구리IC간 광역도로 확장 기본 및 실시설계용역(서울시),\\EstInternetDisk\6-leedh\01010_도로\2016155_태릉-구리IC간 광역도로 확장 기본 및 실시설계용역(서울시)
01010,도로,20170045,하남감일 공공주택지구 주변도로 조사설계용역(LH),\\EstInternetDisk\6-leedh\01010_도로\2017045_하남감일 공공주택지구 주변도로 조사설계용역(LH)
01010,도로,201800076,영락공원 진입도로 개설공사 외 4개소 기본 및 실시설계용역,\\EstInternetDisk\6-leedh\01010_도로\20180076_영락공원 진입도로 개설공사 외 4개소 기본 및 실시설계용역
01010,도로,20180016,경원선절철 연계도로(연천중1-1호선외 4개노선) 기본 및 실시설계용역(측량),\\EstInternetDisk\6-leedh\01010_도로\2018016 경원선절철 연계도로(연천중1-1호선외 4개노선) 기본 및 실시설계용역(측량)
01010,도로,20180087,"군도12호선(시문~동천)확포장공사 기본 및 실시설계용역(남해군,8억)","\\EstInternetDisk\6-leedh\01010_도로\2018087_군도12호선(시문~동천)확포장공사 기본 및 실시설계용역(남해군,8억)"
01010,도로,20180135,만흥동 마래2터널 우회도로 개설공사 기본 및 실시설계용역,\\EstInternetDisk\6-leedh\01010_도로\2018135_만흥동 마래2터널 우회도로 개설공사 기본 및 실시설계용역
01010,도로,20180146,"평택호 강변도로 외 1개소 (평택시, 측량분야)- 2.설계-2.07 현황측량 참고","\\EstInternetDisk\6-leedh\01010_도로\2018146_평택호 강변도로 외 1개소 (평택시, 측량분야)- 2.설계-2.07 현황측량 참고"
01010,도로,20180146,"평택호 강변도로 외 1개소 도로개설 기본 및 실시설계용역(평택시, 16억)","\\EstInternetDisk\6-leedh\01010_도로\2018146_평택호 강변도로 외 1개소 도로개설 기본 및 실시설계용역(평택시, 16억)"
01010,도로,20190020,북부순환도로 개설공사 (1공구) 실시설계(보완) 용역,\\EstInternetDisk\6-leedh\01010_도로\2019020_북부순환도로 개설공사 (1공구) 실시설계(보완) 용역
01010,도로,20190104,"인천 검단신도시 원당~태리간 광역도로 조사설계용역(LH,12억)","\\EstInternetDisk\6-leedh\01010_도로\2019104_인천 검단신도시 원당~태리간 광역도로 조사설계용역(LH,12억)"
01010,도로,20190231,서부순환도로 연결 송삼사거리~북원로 간 도로(대로2-6) 기본 및 실시설계용역,\\EstInternetDisk\6-leedh\01010_도로\2019231_서부순환도로 연결 송삼사거리~북원로 간 도로(대로2-6) 기본 및 실시설계용역
01010,도로,20200003,고남~창기(제2공구) 도로건설공사 기본 및 실시설계용역(대전청),\\EstInternetDisk\6-leedh\01010_도로\2020003_고남~창기(제2공구) 도로건설공사 기본 및 실시설계용역(대전청)
01010,도로,202000260,"경산대임 공공주택지구 지구외 도로 조사설계용역(LH,22억)","\\EstInternetDisk\6-leedh\01010_도로\20200260_경산대임 공공주택지구 지구외 도로 조사설계용역(LH,22억)"
01010,도로,20200039,해남 어불도 연륙교 개설사업 기본 및 실시설계,\\EstInternetDisk\6-leedh\01010_도로\2020039_해남 어불도 연륙교 개설사업 기본 및 실시설계
01010,도로,20200041,"동해항 3단계진입도로 건설공사 기본 및 실시설계(동해해수청, 13억)","\\EstInternetDisk\6-leedh\01010_도로\2020041_동해항 3단계진입도로 건설공사 기본 및 실시설계(동해해수청, 13억)"
01010,도로,20200208,고모IC~송우간 도로 확포장 공사 기본 및 실시설계용역(포천시),\\EstInternetDisk\6-leedh\01010_도로\2020208_고모IC~송우간 도로 확포장 공사 기본 및 실시설계용역(포천시)
01010,도로,20200211,북부순환도로(2단계) 개설공사 실시설계용역(창원시),\\EstInternetDisk\6-leedh\01010_도로\2020211_북부순환도로(2단계) 개설공사 실시설계용역(창원시)
01010,도로,20200255,양평~이천 건설공사(1공구) 매입말뚝 한계상태설계법 보완설계용역,\\EstInternetDisk\6-leedh\01010_도로\2020255_양평~이천 건설공사(1공구) 매입말뚝 한계상태설계법 보완설계용역
01010,도로,20200269,농소~강동간(2공구) 도로개설공사 설계단계_건설사업관리,\\EstInternetDisk\6-leedh\01010_도로\2020269_농소~강동간(2공구) 도로개설공사 설계단계_건설사업관리
01010,도로,20210007,북부도로망외 1개소 타당성조사 및 기본계획 수립(안성시),\\EstInternetDisk\6-leedh\01010_도로\2021007_북부도로망외 1개소 타당성조사 및 기본계획 수립(안성시)
01010,도로,202100178,평창터널 민간투자사업 기본설계 및 제영향평가 용역,\\EstInternetDisk\6-leedh\01010_도로\20210178_평창터널 민간투자사업 기본설계 및 제영향평가 용역
01010,도로,202100235,신림-봉천터널 도로건설공사(1공구) 환기소 이전 설계비 인력지원,\\EstInternetDisk\6-leedh\01010_도로\20210235_신림-봉천터널 도로건설공사(1공구) 환기소 이전 설계비 인력지원
