department_code,department_name
00000,회사공용
01010,도로
01020,공항인프라
01030,구조
01040,지반
01050,교통
01060,안전진단
02010,도시철도
03010,철도
03020,철도건설관리
04010,도시계획
04020,도시설계
04030,조경
05010,수자원
06010,환경
07010,상하수도
07010,항만
08010,건설사업관리
09010,해외영업
10010,플랫폼사업실
11010,기술지원실
99999,준공
