project_id,department_code,department_name,project_name,original_folder
19970063,99999,준공,1997063_지하철 9호선 실시설계 감리 및 전면책임감리용역(감리9-1공구),99999_준공\08. 철도건설관리부\1997063_지하철 9호선 실시설계 감리 및 전면책임감리용역(감리9-1공구)
20000000,01010,도로,2000_-----------------------준공 프로젝트(이하)---------------------------------------------------------------------------------------------------,01010_도로\0003 준공사업\2000_-----------------------준공 프로젝트(이하)---------------------------------------------------------------------------------------------------
20000000,03010,철도,D202200000 수성 퇴사자 미정리 PJ파일,03010_철도\D202200000 수성 퇴사자 미정리 PJ파일
20000000,04010,도시계획,2000년대,04010_도시계획\※※ 진행사업 ※※\2000년대
20000000,10010,플랫폼사업실,2000000_-----------------------진행 프로젝트(이하)---------------------------------------------------------------------------------------------------,10010_플랫폼사업실\2000000_-----------------------진행 프로젝트(이하)---------------------------------------------------------------------------------------------------
20000001,07010,상하수도,Y2000001 OO사업 기본 및 실시설계(샘플_복사해서 쓰세요),07010_상하수도\Y2000001 OO사업 기본 및 실시설계(샘플_복사해서 쓰세요)
20000088,99999,준공,2000088_순창-정읍간 도로확장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2000088_순창-정읍간 도로확장공사 실시설계용역"
20000089,99999,준공,2000089_북면-용대간 도로확장 및 포장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2000089_북면-용대간 도로확장 및 포장공사 실시설계용역"
20010009,99999,준공,2001009_세지우회도로 건설공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001009_세지우회도로 건설공사 실시설계용역"
20010023,99999,준공,"2001023_국도25호선 상주,내서,능암지구 위험도로 개량공사 실시설계용역","99999_준공\01. 도로, 공항부\2001023_국도25호선 상주,내서,능암지구 위험도로 개량공사 실시설계용역"
20010034,99999,준공,2001034_학의동-고기리-동백지구 도로개설공사 타당성조사 및 기본설계용역,"99999_준공\01. 도로, 공항부\2001034_학의동-고기리-동백지구 도로개설공사 타당성조사 및 기본설계용역"
20010035,99999,준공,2001035_마전지구-원당지구간(중1-116호선) 도로개설 실시설계용역,"99999_준공\01. 도로, 공항부\2001035_마전지구-원당지구간(중1-116호선) 도로개설 실시설계용역"
20010042,99999,준공,2001042_어모-상주간 국도4차로 건설공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001042_어모-상주간 국도4차로 건설공사 실시설계용역"
20010043,99999,준공,2001043_연천-신탄리간 도로확장 및 포장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001043_연천-신탄리간 도로확장 및 포장공사 실시설계용역"
20010044,99999,준공,2001044_2001목포북항 임항도로 실시설계용역,"99999_준공\01. 도로, 공항부\2001044_2001목포북항 임항도로 실시설계용역"
20010046,99999,준공,2001046_어천-공주간 지방도 확포장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001046_어천-공주간 지방도 확포장공사 실시설계용역"
20010059,99999,준공,2001059_대전천변 도시고속화도로 실시설계용역,"99999_준공\01. 도로, 공항부\2001059_대전천변 도시고속화도로 실시설계용역"
20010065,99999,준공,2001065_문형-고산간 농어촌도로 개설공사 실시설계 및 사전환경성 검토용역,"99999_준공\01. 도로, 공항부\2001065_문형-고산간 농어촌도로 개설공사 실시설계 및 사전환경성 검토용역"
20010081,99999,준공,2001081_전주-광양(순천)간 고속도로 건설공사 실시설계용역(16공구),"99999_준공\01. 도로, 공항부\2001081_전주-광양(순천)간 고속도로 건설공사 실시설계용역(16공구)"
20010088,99999,준공,2001088_아산-무장 도로확장 및 포장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001088_아산-무장 도로확장 및 포장공사 실시설계용역"
20010092,99999,준공,2001092_국도31호선 하남4지구외 10개소 법면정비공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001092_국도31호선 하남4지구외 10개소 법면정비공사 실시설계용역"
20010095,99999,준공,2001095_소정리-전의간 거천(상하)교량외 3개소 유도상화공사 용역설계,99999_준공\07. 철도설계부\2001095_소정리-전의간 거천(상하)교량외 3개소 유도상화공사 용역설계
20010097,99999,준공,2001097_강서-고촌간 광역도로 개설공사 실시설계용역,"99999_준공\01. 도로, 공항부\2001097_강서-고촌간 광역도로 개설공사 실시설계용역"
20020004,99999,준공,2002004_국도18호선 진도 삼막지구 위험도로 개수공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002004_국도18호선 진도 삼막지구 위험도로 개수공사 실시설계용역"
20020005,99999,준공,2002005_해보-삼서간 도로확장 및 포장공사 중 실시설계용역,"99999_준공\01. 도로, 공항부\2002005_해보-삼서간 도로확장 및 포장공사 중 실시설계용역"
20020006,99999,준공,"2002006_기본설계용역(차량, 전기, 검수, 건축등) [의정부 경전철 궤도분야 기본설계]","99999_준공\07. 철도설계부\2002006_기본설계용역(차량, 전기, 검수, 건축등) [의정부 경전철 궤도분야 기본설계]"
20020010,99999,준공,2002010_지축-효자간 도로개설공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002010_지축-효자간 도로개설공사 실시설계용역"
20020013,99999,준공,2002013_국도23호선 장화-화산간 중앙분리대 설치공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002013_국도23호선 장화-화산간 중앙분리대 설치공사 실시설계용역"
20020014,99999,준공,2002014_국도42호선 도로 확.포장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002014_국도42호선 도로 확.포장공사 실시설계용역"
20020017,99999,준공,2002017_안양9동 병목안길 도로확장 등 2개소 실시설계용역,"99999_준공\01. 도로, 공항부\2002017_안양9동 병목안길 도로확장 등 2개소 실시설계용역"
20020020,99999,준공,2002020_수암로 확장공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002020_수암로 확장공사 실시설계용역"
20020021,99999,준공,2002021_국도30호선 복흥지구 위험도로 개량공사 실시설계용역,"99999_준공\01. 도로, 공항부\2002021_국도30호선 복흥지구 위험도로 개량공사 실시설계용역"
