ProjectID,ProjectName,Depart,Status,Contractor,ProjectID_numeric,Depart_ProjectID,search_folder
A20230001,(2핵심)디지털 국토정보 구축 효율화를 위한 다차원다시점 공간데이터 기반 국토정보 변화인식 및 자동갱신 기술개발,플랫폼사업실,진행,주관사,20230001,10010_A20230001,10010_플랫폼사업실\A20230001_(2핵심)디지털 국토정보 구축 효율화를 위한 다차원다시점 공간데이터 기반 국토정보 변화인식 및 자동갱신 기술개발
A20230002,(3핵심)초연결 디지털 국토 실현을 위한 융복합 데이터의 통합 활용 및 운영 검증 체계 구축,플랫폼사업실,진행,주관사,20230002,10010_A20230002,10010_플랫폼사업실\A20230002_(3핵심)초연결 디지털 국토 실현을 위한 융복합 데이터의 통합 활용 및 운영 검증 체계 구축
C20050028,"수인선 수원~인천간 복선전철 노반신설공사 (1,2공구)전면책임감리용역",철도건설관리부,진행,주관사,20050028,03020_C20050028,"99999_준공\08. 철도건설관리부\2005028_수인선 수원~인천간 복선전철 노반신설공사 (1,2공구)전면책임감리용역"
C20050077,송파권역 도시개발사업 조사설계용역,도시설계부,진행,비주관사,20050077,04020_C20050077,04020_도시설계\2005077 송파권역도시개발사업 조사설계용역
C20070089,인천가정 경명로 연결도로외 3개도로 기본 및 실시설계용역,도로부,준공,비주관사,20070089,01010_C20070089,01010_도로\0003 준공사업\2007089_인천가정 경명로 연결도로외 3개도로 기본 및 실시설계용역(LH)
C20070146,동탄2지구 조사설계용역,도시설계부,진행,비주관사,20070146,04020_C20070146,04020_도시설계\2007146 동탄2지구 조사설계용역(LH)
C20070165,화성비봉 공공주택지구 및 주변도로 조사설계용역,도시계획부,진행,주관사,20070165,04010_C20070165,04010_도시계획\1팀\2007-165. 화성비봉 공공주택지구 및 주변도로 조사설계용역
C20070209,양주회천지구 택지개발사업 도시조성공사 실시설계용역,도시설계부,진행,비주관사,20070209,04020_C20070209,04020_도시설계\2007209 양주회천지구 택지개발사업 도시조성공사 실시설계용역
C20070232,김해 복합스포츠 레저시설 조성사업 설계감리 용역,도로부,진행,주관사,20070232,01010_C20070232,No folder
C20080085,시흥시 죽율-장현-목감간 도로 기본 및 실시설계용역,도로부,진행,주관사,20080085,01010_C20080085,01010_도로\2008085_시흥시 죽율~장현~목감간 도로 기본 및 실시설계용역(LH)
C20080166,광주전남빛그린 국가산업단지 개발사업 조사설계용역,도시설계부,진행,비주관사,20080166,04020_C20080166,04020_도시설계\2008166 광주전남빛그린 국가산업단지 개발사업 조사설계용역
