ProjectID,ProjectName,Depart,Status,Contractor,ProjectID_numeric,Depart_ProjectID,search_folder
A20230002,(3핵심)초연결 디지털 국토 실현을 위한 융복합 데이터의 통합 활용 및 운영 검증 체계 구축,플랫폼사업실,진행,비주관사,20230002,10010_A20230002,No folder
C20050028,"수인선 수원~인천간 복선전철 노반신설공사 (1,2공구)전면책임감리용역",철도건설관리부,진행,주관사,20050028,03020_C20050028,No folder
C20050077,송파권역 도시개발사업 조사설계용역,도시설계부,진행,비주관사,20050077,04020_C20050077,No folder
C20070146,동탄2지구 조사설계용역,도시설계부,진행,주관사,20070146,04020_C20070146,No folder
C20070165,화성비봉 공공주택지구 및 주변도로 조사설계용역,도시계획부,진행,주관사,20070165,04010_C20070165,No folder
C20070209,양주회천지구 택지개발사업 도시조성공사 실시설계용역,도시설계부,진행,주관사,20070209,04020_C20070209,No folder
C20070232,김해 복합스포츠 레저시설 조성사업 설계감리 용역,도로부,진행,주관사,20070232,01010_C20070232,No folder
C20080166,광주전남빛그린 국가산업단지 개발사업 조사설계용역,도시설계부,진행,주관사,20080166,04020_C20080166,No folder
C20080183,탄천변 동측도로 확장공사 실시설계용역,구조부,진행,주관사,20080183,01030_C20080183,No folder
C20090030,화성동탄(2) 택지개발사업 조사설계용역,도시설계부,진행,주관사,20090030,04020_C20090030,No folder
C20090115,서울A지구 보금자리주택지구 조사설계 용역,도시설계부,진행,비주관사,20090115,04020_C20090115,No folder
C20090123,하남미사 보금자리주택지구 조성공사 실시설계용역,도시설계부,진행,주관사,20090123,04020_C20090123,No folder
C20090143,북아현재정비촉진지구주택재개발정비사업 교육환경보호계획서 용역,환경사업부,진행,비주관사,20090143,06010_C20090143,No folder
C20100003,시흥은계지구 조사설계용역,도시설계부,진행,비주관사,20100003,04020_C20100003,No folder
C20120119,황해경제자유구역 포승지구 조성사업 조사설계용역,도시계획부,진행,주관사,20120119,04010_C20120119,No folder
C20130009,청양 정산2농공단지조성사업 조사설계용역,도시계획부,진행,주관사,20130009,04010_C20130009,No folder
C20130010,청양 정산2농공단지조성사업 환경영향평가용역,도시계획부,진행,주관사,20130010,04010_C20130010,No folder
C20140041,고성죽계-마산진전 국도건설공사 사후환경영향조사용역,환경사업부,진행,주관사,20140041,06010_C20140041,No folder
C20140089,농진청 등 종전부동산 6지구 도시개발사업 조사.설계용역,도시설계부,진행,주관사,20140089,04020_C20140089,No folder
C20140103,고막원천 다시2지구 등 3개사업 사후환경영향조사용역,환경사업부,준공,비주관사,20140103,06010_C20140103,No folder
C20140174,강동 일반산업단지(엔지니어링복합단지)조사설계용역,도시계획부,진행,주관사,20140174,04010_C20140174,No folder
C20140193,"동해선 포항~삼척 철도건설 제6,7공구 노반건설공사 감독 권한대행 등 건설사업관리용역",철도건설관리부,진행,주관사,20140193,03020_C20140193,No folder
C20140197,행정중심복합도시 6생활권 및 1생활권 유보지 지구단위계획 수립용역,도시계획부,진행,비주관사,20140197,04010_C20140197,No folder
C20150076,밀양나노융합 국가산업단지 조사설계용역,도시설계부,진행,주관사,20150076,04020_C20150076,No folder
C20150134,순천00 도시첨단산업단지 조사설계용역,도시설계부,진행,주관사,20150134,04020_C20150134,No folder
C20150153,삽교천 삽교지구 하천환경정비사업 사후환경영향조사용역,환경사업부,준공,비주관사,20150153,06010_C20150153,No folder
C20150159,"보성~임성리 철도건설 제3,4공구 노반공사 감독 권한대행 등 통합건설사업관리용역",철도건설관리부,진행,주관사,20150159,03020_C20150159,No folder
C20150170,서울 A공공주택지구 조사설계용역,도시설계부,진행,주관사,20150170,04020_C20150170,No folder
C20160031,중앙선 도담~영천 복선전철(안동~영천구간) 사후환경영향조사 용역,환경사업부,진행,비주관사,20160031,06010_C20160031,No folder
C20160054,평택소사2지구 도시개발사업 사후환경영향조사용역,환경사업부,진행,주관사,20160054,06010_C20160054,No folder
C20160057,과천주암 기업형임대주택 공급촉진지구 조사설계용역,도시설계부,진행,주관사,20160057,04020_C20160057,No folder
C20160112,"삼성~동탄 광역급행철도 건설공사 제4,5공구 노반공사 감독 권한대행 등 통합 건설사업관리용역",철도건설관리부,진행,비주관사,20160112,03020_C20160112,No folder
C20160138,형산강 황성지구외 1개지구 하천환경정비사업 사후환경영향조사용역,환경사업부,진행,주관사,20160138,06010_C20160138,No folder
C20160158,남평~화순간 국가지원지방도 확포장공사 사후환경영향조사용역(총괄),환경사업부,진행,주관사,20160158,06010_C20160158,No folder
C20170001,미얀마 우정의 교량(Dala) 건설사업 설계 및 감리,구조부,진행,비주관사,20170001,01030_C20170001,No folder
C20170011,용인언남 기업형임대주택 공급촉진지구 환경영향평가용역,환경사업부,진행,주관사,20170011,06010_C20170011,No folder
C20170012,김해진례 기업형임대주택 공급촉진지구 조사설계용역,도시설계부,진행,주관사,20170012,04020_C20170012,No folder
C20170019,광주송정역 KTX지역경제거점형 투자선도지구 조사설계용역,도시설계부,진행,비주관사,20170019,04020_C20170019,No folder
C20170064,파주~양주.포천 고속도로 건설사업 사후환경영향조사 용역,환경사업부,진행,비주관사,20170064,06010_C20170064,No folder
C20170084,양평군 농촌관광휴양단지 조성사업 등 계획수립용역,도시계획부,진행,주관사,20170084,04010_C20170084,No folder
C20170105,광주선운2 공공주택지구 조사설계용역,도시계획부,진행,비주관사,20170105,04010_C20170105,No folder
C20170113,청주지북 기업형임대주택 공급촉진지구 조사설계용역,도시설계부,진행,주관사,20170113,04020_C20170113,No folder
C20170123,광명시흥 첨단R&D단지 조사설계용역,도시설계부,진행,주관사,20170123,04020_C20170123,No folder
C20170124,별내선(8호선연장) 건설공사 감독권한대행 등 건설사업관리용역(2공구),철도건설관리부,준공,주관사,20170124,03020_C20170124,No folder
C20170185,속초00지구 토지이용구상 및 사업타당성조사 용역 인력지원,도시계획부,준공,비주관사,20170185,04010_C20170185,No folder
C20170189,포승~평택 철도건설(안중~오성) 사후환경영향조사용역,환경사업부,진행,주관사,20170189,06010_C20170189,No folder
C20180031,도시철도 양산선(노포~북정) 4공구 건설공사 감독권한대행 등 건설사업관리용역,철도건설관리부,준공,비주관사,20180031,03020_C20180031,No folder
C20180034,중부권 마을정비형공공주택사업 도시.건축통합기술용역,도시계획부,진행,주관사,20180034,04010_C20180034,No folder
C20180053,아르메니아-조지아 국경Bagratashen교량 건설 시공감리용역,구조부,진행,주관사,20180053,01030_C20180053,No folder
C20180054,창원 사화공원 민간개발특례사업 조사설계용역,도시계획부,진행,비주관사,20180054,04010_C20180054,No folder
C20180067,고양 59개 GB해제취락 도시관리계획 재정비용역,도시계획부,준공,주관사,20180067,04010_C20180067,No folder
C20180068,부천원종 공공주택지구 조사설계용역,도시설계부,진행,주관사,20180068,04020_C20180068,No folder
C20180071,한강(섬강~국가기점) 하천기본계획 수립 및 하천시설 관리대장 작성 용역,수자원부,준공,주관사,20180071,05010_C20180071,No folder
C20180074,남강 하천기본계획 및 하천시설관리대장작성 용역,수자원부,준공,비주관사,20180074,05010_C20180074,No folder
C20180096,밀양부북 공공주택지구 조사설계용역,도시계획부,진행,주관사,20180096,04010_C20180096,No folder
C20180125,군포대야미 공공주택지구 조사설계용역,도시계획부,진행,주관사,20180125,04010_C20180125,No folder
C20180129,고양 일산테크노밸리 조사설계용역,도시설계부,진행,주관사,20180129,04020_C20180129,No folder
C20180134,남강+남강댐권역 하천기본계획수립 전략환경영향평가 용역,환경사업부,준공,비주관사,20180134,06010_C20180134,No folder
C20180139,은남일반산업단지 개발계획 기본실시설계 용역,도시설계부,진행,비주관사,20180139,04020_C20180139,No folder
C20180143,국도대체우회도로(연산~두마)건설공사 사후환경영향조사용역,환경사업부,진행,비주관사,20180143,06010_C20180143,No folder
C20180151,새만금~전주(김제~전주) 고속도로 건설사업 사후환경영향조사,환경사업부,진행,주관사,20180151,06010_C20180151,No folder
C20180166,화성어천 공공주택지구 조사설계용역,도시설계부,진행,주관사,20180166,04020_C20180166,No folder
C20190033,포천송우2 공공지원민간임대주택 공급촉진지구 조성사업 조사설계용역,도시계획부,진행,비주관사,20190033,04010_C20190033,No folder
C20190039,청산도항 정비공사 사후환경영향조사용역(공사시),환경사업부,진행,주관사,20190039,06010_C20190039,No folder
C20190088,백석천 비점오염 저감사업 기본 및 실시설계 용역,상하수도부,준공,비주관사,20190088,07010_C20190088,No folder
C20190120,합천군 관리계획(재정비) 수립 용역,도시계획부,준공,주관사,20190120,04010_C20190120,No folder
C20190123,보청천권역 하천기본계획 및 하천시설관리대장작성용역,수자원부,준공,비주관사,20190123,05010_C20190123,No folder
C20190126,전주역세권 공공지원민간임대주택 공급촉진지구 조사설계용역,도시설계부,진행,비주관사,20190126,04020_C20190126,No folder
C20190132,원주 반곡동 민간임대주택사업 기본계획 및 지구단위계획 수립 용역,도시계획부,진행,비주관사,20190132,04010_C20190132,No folder
C20190146,영월에코에너지 조성사업 토목 기본 및 실시설계 용역,도시설계부,진행,주관사,20190146,04020_C20190146,No folder
C20190160,횡성 앞들2지구 도시개발사업 수립용역(환지방식),도시계획부,준공,주관사,20190160,04010_C20190160,No folder
C20190176,고성 무인기종합타운 투자선도지구 조사설계용역,도시계획부,진행,주관사,20190176,04010_C20190176,No folder
C20190189,필리핀 LRT-2 서측연장사업 컨설팅용역,철도설계부,진행,비주관사,20190189,03010_C20190189,No folder
C20190195,동북선 도시철도 민간투자사업(2공구) 감독 권한대행 등 건설사업관리용역,철도건설관리부,진행,주관사,20190195,03020_C20190195,No folder
C20190206,김해시 자원순환시설 현대화사업 환경영향평가(재협의),환경사업부,진행,주관사,20190206,06010_C20190206,No folder
C20190217,금호워터폴리스 산업단지 진입도로 건설 기본 및 실시설계용역,구조부,준공,주관사,20190217,01030_C20190217,No folder
