project_id,department,project_name,timestamp,contract_exists,contract_count,specification_exists,specification_count,initiation_exists,initiation_count,agreement_exists,agreement_count,budget_exists,budget_count,deliverable1_exists,deliverable1_count,deliverable2_exists,deliverable2_count,completion_exists,completion_count,certificate_exists,certificate_count,evaluation_exists,evaluation_count
20070089,01010_도로,2007089_인천가정 경명로 연결도로외 3개도로 기본 및 실시설계용역(LH),2025-03-03 05:17:11,True,3,True,3,True,3,True,3,True,1,True,3,True,3,True,3,True,2,False,0
20140103,06010_환경,2014103┃고막원천 다시2지구 등 3개사업,2025-03-03 05:17:23,True,3,True,3,True,3,True,3,True,3,True,3,False,0,True,3,True,3,False,0
20150153,06010_환경,2015153┃삽교천 삽교지구 하천환경정비사업,2025-03-03 05:17:41,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20160031,06010_환경,20160031┃중앙선 도담~영천 복선전철(안동~영천구간) 사후환경영향조사 용역(추가분),2025-03-03 05:18:17,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,1
20170064,06010_환경,"2017064┃파주-양주, 포천 고속도로 건설사업",2025-03-03 05:18:42,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20170189,06010_환경,2017189┃포승~평택 철도건설(안중~오성),2025-03-03 05:18:59,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20180019,01010_도로,C2018019 Ethiopia 고레-마샤-테피 도로 디자인 빌드 프로젝트 개념설계 및 감리,2025-03-03 05:19:12,True,3,False,0,False,0,True,3,True,3,True,3,True,1,True,3,True,3,False,0
20180134,06010_환경,2018134┃남강+남강댐권역 하천기본계획수립,2025-03-03 05:19:23,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20190011,01010_도로,C20190011 Bangladash SASEC,2025-03-03 05:19:32,True,3,True,1,False,0,True,3,True,3,False,0,False,0,False,0,False,0,False,0
20200115,06010_환경,20200115┃군산항 장항항 사후환경영향조사용역,2025-03-03 05:20:03,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20200131,01010_도로,C2020131 미얀마 GMS Highway Modernization Project 설계 및 감리용역,2025-03-03 05:20:08,True,3,True,2,False,0,True,3,True,3,False,0,False,0,False,0,False,0,True,1
20200184,01010_도로,C2020184 네팔 SASEC Highway Improvement Project,2025-03-03 05:20:19,True,3,False,0,False,0,True,3,True,3,True,3,True,1,True,3,True,3,False,0
20210090,06010_환경,2021090ㅣ충북20공공지원1 전략(LH 충북지역본부),2025-03-03 05:20:36,True,3,True,3,True,3,False,0,True,3,True,3,True,3,False,0,True,3,False,0
20210112,06010_환경,2021112┃황강 용주지구 하천환경정비사업 환경영향평가,2025-03-03 05:20:53,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20210135,06010_환경,20210135ㅣ아산국가산업단지(우정지구)유보지 개발사업,2025-03-03 05:21:08,True,3,True,3,True,3,True,1,True,3,True,3,True,3,False,0,False,0,False,0
20210204,06010_환경,2021204ㅣ섬진강댐 및 섬진강댐하류권역 전략환경영향평가,2025-03-03 05:21:25,True,3,True,3,True,3,True,3,False,0,True,3,True,1,True,3,True,3,False,0
20210210,01010_도로,20210210_용인 포곡 스마트 물류단지 진입도로 설계 및 건설단계 건설사업관리용역,2025-03-03 05:21:32,True,3,True,3,True,3,False,0,True,2,True,3,True,3,True,3,False,0,False,0
20210235,01010_도로,20210235_신림-봉천터널 도로건설공사(1공구) 환기소 이전 설계비 인력지원,2025-03-03 05:21:57,True,3,True,3,True,1,False,0,True,2,True,3,True,3,True,3,False,0,False,0
20210251,01010_도로,20210251 국도37호선 양평 옥천~가평 설악 도로건설공사 기본 및 실시설계용역,2025-03-03 05:22:15,True,2,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20220004,06010_환경,20220004ㅣ세종 눌왕지구 도시개발사업 조사설계용역(환경),2025-03-03 05:22:19,True,2,False,0,False,0,False,0,True,3,True,1,False,0,True,1,False,0,False,0
20220020,01010_도로,20220020_남원 주천-고기 국가지원지방도 시설개량공사 기본 및 실시설계용역(익산청),2025-03-03 05:22:35,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,1,False,0
20220116,06010_환경,20220116┃송지천 등 5개하천 재해예방사업 전략 및 소규모환경영향평가 용역,2025-03-03 05:22:49,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0,True,3,False,0
20220149,06010_환경,20220149┃보청천권역 하천기본계획수립 전략환경영향평가,2025-03-03 05:22:54,True,1,True,3,True,3,True,3,True,3,True,3,True,1,True,3,True,3,False,0
20220166,01010_도로,20220166_풍암교차로 정체구간 교통처리개선사업 기본 및 실시설계 용역(광주광역시),2025-03-03 05:23:28,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20220170,01010_도로,20220170_신림-봉천터널 도로건설공사(1공구) 지하차도 진출입부 위치변경 설계용역 인력지원,2025-03-03 05:23:59,True,3,True,3,True,1,False,0,True,2,True,3,True,3,True,2,False,0,False,0
20220186,06010_환경,2022186┃삼성개발공원묘원 자연장지 조성사업(환경),2025-03-03 05:24:04,True,3,True,3,False,0,False,0,True,3,True,3,False,0,False,0,False,0,False,0
20220190,06010_환경,20220190ㅣ파크골프장 추가조성 소규모환경영향평가,2025-03-03 05:24:11,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20220218,01010_도로,20220218_제천~영월간 고속도로 건설공사기본 및 실시설계용역(4공구),2025-03-03 05:24:33,True,3,True,3,True,3,True,3,True,3,True,3,True,2,True,3,True,3,False,0
20220240,06010_환경,20220240ㅣ성남복정2 환경보전방안(3차),2025-03-03 05:24:39,True,3,True,2,True,3,False,0,True,3,True,1,True,3,True,3,True,2,False,0
20220243,06010_환경,20220243┃태안 근흥 정죽~두야 전략 및 환경영향평가,2025-03-03 05:24:53,True,3,True,3,True,3,True,3,True,3,True,3,False,0,True,3,True,3,False,0
20220251,06010_환경,2022251ㅣ위례신사선 도시철도 민간투자사업 환경영향평가,2025-03-03 05:24:58,True,3,True,3,False,0,False,0,True,3,True,3,False,0,True,3,False,0,False,0
20230018,01010_도로,20230018_제2경춘국도(남양주~춘천)도로건설공사(제3공구) 실시설계용역(원주청),2025-03-03 05:25:33,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,2,False,0
20230040,01010_도로,20230040_신림봉천 터널 도로건설공사(1공구) 환기시설 기준 변경 설계 인력지원,2025-03-03 05:25:40,True,2,True,3,False,0,False,0,True,3,False,0,False,0,True,3,False,0,False,0
20230046,06010_환경,20230046┃당본지구 급경사지 붕괴위험지역 정비사업 소규모환경영향평가 용역,2025-03-03 05:25:46,True,3,True,3,True,3,False,0,True,3,True,3,True,2,True,3,True,1,False,0
20230066,01010_도로,20230066_국지도23호선 안성 대덕~용인 남사 도로건설공사 등 사전기획조사용역(서울청),2025-03-03 05:25:55,True,1,True,3,True,3,True,1,True,3,True,3,False,0,True,3,True,3,False,0
20230136,01010_도로,20230136_호국로(학정삼거리)입체화사업 기본 및 실시설계용역(대구광역시 도시건설본부),2025-03-03 05:26:04,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,2,False,0
20230149,01010_도로,"20230149_수서역세권 공공주택지구 조사설계용역 중 밤고개로 보완설계 및 실시계획 변경인가(LH-도화,동명,선진)",2025-03-03 05:26:15,True,3,True,3,False,0,True,1,True,1,True,3,True,3,True,3,True,2,False,0
20230153,01010_도로,20230153_고속국도 제55호 중앙선(김해공항～대동) 확장공사타당성 및 기본설계(도로공사),2025-03-03 05:26:40,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20230185,01010_도로,20230185_성남~장호원(6-1공구) STA.1+742지점 교량설계 용역,2025-03-03 05:26:53,True,1,True,2,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0
20230191,01010_도로,20230191_소양교 보도육교 실시설계용역,2025-03-03 05:27:01,True,2,True,2,False,0,False,0,True,1,True,2,True,3,True,2,False,0,False,0
20230193,01010_도로,20230193_2023년 6~7월 집중호우 지방도 재해복구사업 실시설계용역(경상북도),2025-03-03 05:27:34,True,2,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20230199,06010_환경,20230199ㅣ용인~광주 고속화도로 민간투자사업 전략환경영향평가,2025-03-03 05:27:48,True,3,True,3,True,1,False,0,True,3,True,3,True,1,False,0,True,2,False,0
20230202,06010_환경,(완료) 20230202┃안양천 금천구 파크골프장 소규모환경영향평가 용역,2025-03-03 05:27:54,True,3,True,3,True,3,False,0,True,3,True,3,True,3,True,3,True,2,False,0
20230222,06010_환경,20230222ㅣ평택~오송 2복선화 건설사업 사후환경영향조사용역,2025-03-03 05:28:07,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,False,0
20230234,06010_환경,20230234 I 남한강 에스파크CC 사후환경영향조사용역(공사시) 및 환경보전방안 (1분기),2025-03-03 05:28:14,True,3,True,3,True,3,False,0,True,3,True,3,True,1,True,3,True,1,False,0
20240004,01010_도로,20240004 국도31호선 영월군 북면 문곡_연덕 도로조사 기술지원(오대ENG),2025-03-03 05:28:23,True,1,True,3,True,2,True,3,True,1,True,3,True,3,True,3,False,0,False,0
20240021,06010_환경,(완료) 20240021ㅣ아산연수원 內 야영장 조성에 대한 소규모 환경영향평가 용역,2025-03-03 05:28:29,True,3,True,2,True,3,False,0,True,3,True,3,False,0,True,3,True,1,False,0
20240029,01010_도로,20240029 북면농어촌도로 103호(백담선)도로교통개선사업 타당성조사 및 기본계획 검토용역(인제군),2025-03-03 05:28:36,True,3,True,3,True,3,True,3,True,3,False,0,False,0,True,3,True,3,False,0
20240042,01010_도로,20240042_수도교-벌리신호등간 도시계획도로 개설 실시설계(보완)(사천시-외부 유출 절대금지. 사천시 업체와 소송중),2025-03-03 05:28:43,True,3,True,3,True,2,False,0,True,2,True,3,True,3,True,3,True,3,False,0
20240060,06010_환경,20240060 l 성남복정1 환경보전방안(2차),2025-03-03 05:28:55,True,3,True,3,True,3,False,0,True,1,False,0,True,3,True,3,True,2,False,0
20240151,01010_도로,20240151_대동~매리 종점부 선형변경 및 실시설계용역(경상남도-남해종합개발),2025-03-03 05:29:17,True,3,True,3,True,3,False,0,True,1,True,3,True,3,True,2,True,2,False,0
20240178,06010_환경,"20240178ㅣ월곶_판교 복선전철 건설사업(제2_5, 7, 9_10공구) 사후환경영향조사용역",2025-03-03 05:29:23,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True,1
