project_id,department_code,department,project_name,Status,Contractor,timestamp,remark,contract_exists,specification_exists,initiation_exists,agreement_exists,budget_exists,deliverable1_exists,deliverable2_exists,completion_exists,certificate_exists,evaluation_exists,contract_count,specification_count,initiation_count,agreement_count,budget_count,deliverable1_count,deliverable2_count,completion_count,certificate_count,evaluation_count
20230087,99999,99999_공항및인프라사업부,(용역)새만금국제공항 건설공사 기본설계 설계용역(공항/토질 및 기초),준공,Unknown,2025-03-07 23:20:29,No directory (Project ID 20230087 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230236,99999,99999_공항및인프라사업부,지방공항 개발 로드맵 수립용역,준공,Unknown,2025-03-07 23:20:31,No directory (Project ID 20230236 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240022,99999,99999_공항및인프라사업부,대구경북통합신공항(민항) 건설사업 사업계획 적정성 검토의 공항부문 기술적 검토 및 비용추정,진행,Unknown,2025-03-07 23:20:31,No directory (Project ID 20240022 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240026,99999,99999_공항및인프라사업부,서산공항 건설사업 타당성평가 및 기본계획 수립 용역,진행,Unknown,2025-03-07 23:20:31,No directory (Project ID 20240026 not found in project list for any department),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240219,99999,99999_공항및인프라사업부,인천공항 제1여객계류장 및 A유도로 개선사업 설계용역,진행,Unknown,2025-03-07 23:20:34,No directory (Project ID 20240219 not found in project list for any department),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200273,99999,99999_교통부,방글라데시 지능형교통체계(ITS) 활용 국가 간선도로망 강화사업 PMC용역,진행,Unknown,2025-03-07 23:20:25,No directory (Project ID 20200273 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210036,99999,99999_교통부,지능형교통체계(ITS) 현장장비 성능검증 컨설팅 사업,진행,Unknown,2025-03-07 23:20:25,No directory (Project ID 20210036 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210041,99999,99999_교통부,대전연축 도시개발사업 교통영향평가용역,준공,Unknown,2025-03-07 23:20:25,No directory (Project ID 20210041 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210246,99999,99999_교통부,인도네시아 자카르타 광역권 지능형교통체계(ITS) 마스터플랜 수립 및 시범시스템 구축사업 사업수행용역(PC),진행,Unknown,2025-03-07 23:20:26,No directory (Project ID 20210246 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210247,99999,99999_교통부,엘살바도르 산살바도르 도시교통 마스터플랜 수립 및 교통신호체계 개선사업 PMC용역,진행,Unknown,2025-03-07 23:20:26,No directory (Project ID 20210247 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210252,99999,99999_교통부,파라과이 아순시온 도시교통혼잡 완화를 위한 대중교통개선사업 수행용역업체(PC) 선정(1단계),진행,Unknown,2025-03-07 23:20:26,No directory (Project ID 20210252 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220002,99999,99999_교통부,세종 눌왕지구 도시개발사업 조사설계용역(교통),진행,Unknown,2025-03-07 23:20:26,No directory (Project ID 20220002 not found for department 99999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
